round,file,fitness,instructions,normalized_fitness
18,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_73.S,0.91,103,0.0166270783847981
18,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_66.S,0.91,105,0.0166270783847981
18,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_54.S,0.9,48,0.0164443632377124
18,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_70.S,0.9,98,0.0164443632377124
18,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_25.S,0.9,77,0.0164443632377124
18,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_22.S,0.9,36,0.0164443632377124
18,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_77.S,0.9,61,0.0164443632377124
18,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_2.S,0.9,47,0.0164443632377124
18,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_81.S,0.9,35,0.0164443632377124
19,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_41.S,0.91,196,0.0171860245514636
19,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_38.S,0.91,133,0.0171860245514636
19,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_66.S,0.91,105,0.0171860245514636
19,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_73.S,0.91,103,0.0171860245514636
19,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_54.S,0.9,48,0.0169971671388102
19,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_22.S,0.9,36,0.0169971671388102
19,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_43.S,0.9,67,0.0169971671388102
19,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_52.S,0.9,75,0.0169971671388102
19,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_56.S,0.9,27,0.0169971671388102
19,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_39.S,0.9,53,0.0169971671388102
20,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_41.S,0.91,196,0.0177180685358255
20,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_38.S,0.91,133,0.0177180685358255
20,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_66.S,0.91,105,0.0177180685358255
20,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_73.S,0.91,103,0.0177180685358255
20,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_54.S,0.9,48,0.0175233644859813
20,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_22.S,0.9,36,0.0175233644859813
20,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_49.S,0.9,20,0.0175233644859813
20,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_39.S,0.9,53,0.0175233644859813
20,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_52.S,0.9,75,0.0175233644859813
20,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_36.S,0.9,42,0.0175233644859813
21,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_41.S,0.91,196,0.0169617893755824
21,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_38.S,0.91,133,0.0169617893755824
21,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_66.S,0.91,105,0.0169617893755824
